row_type,backend,N,iteration,measure,seconds
ITER,FLINT,1,0,derive_shared_key,0.021209
ITER,FLINT,1,1,derive_shared_key,0.021698
ITER,FLINT,1,2,derive_shared_key,0.022099
ITER,FLINT,1,3,derive_shared_key,0.021086
ITER,FLINT,1,4,derive_shared_key,0.021359
ITER,FLINT,1,5,derive_shared_key,0.021815
ITER,FLINT,1,6,derive_shared_key,0.020955
ITER,FLINT,1,7,derive_shared_key,0.021024
ITER,FLINT,1,8,derive_shared_key,0.020981
ITER,FLINT,1,9,derive_shared_key,0.021054
ITER,FLINT,1,10,derive_shared_key,0.021476
ITER,FLINT,1,11,derive_shared_key,0.021554
ITER,FLINT,1,12,derive_shared_key,0.021164
ITER,FLINT,1,13,derive_shared_key,0.021083
ITER,FLINT,1,14,derive_shared_key,0.020945
ITER,FLINT,1,15,derive_shared_key,0.020956
ITER,FLINT,1,16,derive_shared_key,0.021026
ITER,FLINT,1,17,derive_shared_key,0.021024
ITER,FLINT,1,18,derive_shared_key,0.022294
ITER,FLINT,1,19,derive_shared_key,0.021153
ITER,FLINT,1,20,derive_shared_key,0.022447
ITER,FLINT,1,21,derive_shared_key,0.022011
ITER,FLINT,1,22,derive_shared_key,0.022061
ITER,FLINT,1,23,derive_shared_key,0.021788
ITER,FLINT,1,24,derive_shared_key,0.022078
SUMMARY,FLINT,1,,derive_shared_key_avg,0.021454
ITER,FLINT,2,0,derive_shared_key,0.043452
ITER,FLINT,2,1,derive_shared_key,0.043280
ITER,FLINT,2,2,derive_shared_key,0.043270
ITER,FLINT,2,3,derive_shared_key,0.042671
ITER,FLINT,2,4,derive_shared_key,0.041917
ITER,FLINT,2,5,derive_shared_key,0.043614
ITER,FLINT,2,6,derive_shared_key,0.042197
ITER,FLINT,2,7,derive_shared_key,0.041947
ITER,FLINT,2,8,derive_shared_key,0.042817
ITER,FLINT,2,9,derive_shared_key,0.041875
ITER,FLINT,2,10,derive_shared_key,0.041960
ITER,FLINT,2,11,derive_shared_key,0.042672
ITER,FLINT,2,12,derive_shared_key,0.042312
ITER,FLINT,2,13,derive_shared_key,0.041745
