row_type,backend,N,iteration,total_seconds,cardinality_seconds,offset_seconds,deserialize_seconds,kprime_seconds,reconcile_seconds
ITER,FLINT,32,0,0.666905,0.000002,0.567730,0.022420,0.076507,0.000238
ITER,FLINT,32,1,0.710289,0.000001,0.604790,0.023978,0.081301,0.000212
ITER,FLINT,32,2,1.278422,0.000002,1.088274,0.043141,0.146634,0.000364
ITER,FLINT,32,3,0.914527,0.000001,0.779259,0.030909,0.104096,0.000255
ITER,FLINT,32,4,1.035444,0.000001,0.877467,0.036050,0.121608,0.000302
ITER,FLINT,32,5,1.044670,0.000001,0.886565,0.036142,0.121648,0.000306
ITER,FLINT,32,6,1.066180,0.000001,0.908741,0.035976,0.121152,0.000303
ITER,FLINT,32,7,0.999190,0.000001,0.863664,0.030905,0.104357,0.000255
ITER,FLINT,32,8,0.985723,0.000001,0.850120,0.030712,0.104615,0.000267
ITER,FLINT,32,9,1.024639,0.000001,0.865673,0.035789,0.122868,0.000302
ITER,FLINT,32,10,0.987455,0.000001,0.851545,0.030845,0.104796,0.000260
ITER,FLINT,32,11,0.984604,0.000002,0.848855,0.031017,0.104465,0.000258
ITER,FLINT,32,12,0.932202,0.000001,0.796356,0.030877,0.104696,0.000264
ITER,FLINT,32,13,1.090026,0.000002,0.931191,0.036011,0.122501,0.000314
ITER,FLINT,32,14,1.041553,0.000001,0.882963,0.035925,0.122349,0.000307
ITER,FLINT,32,15,1.010916,0.000001,0.875030,0.030835,0.104777,0.000267
ITER,FLINT,32,16,0.965408,0.000001,0.806671,0.036056,0.122359,0.000313
ITER,FLINT,32,17,0.971742,0.000001,0.813430,0.035792,0.122202,0.000310
ITER,FLINT,32,18,1.127173,0.000002,0.967579,0.035691,0.123588,0.000305
ITER,FLINT,32,19,1.396536,0.000002,1.206168,0.043025,0.146969,0.000362
ITER,FLINT,32,20,0.983011,0.000002,0.846831,0.030971,0.104903,0.000298
ITER,FLINT,32,21,0.910827,0.000001,0.774792,0.030765,0.104988,0.000274
ITER,FLINT,32,22,1.064019,0.000002,0.905149,0.036037,0.122521,0.000304
ITER,FLINT,32,23,0.986553,0.000002,0.850172,0.030918,0.105185,0.000270
ITER,FLINT,32,24,1.145680,0.000002,0.986520,0.036202,0.122644,0.000305
SUMMARY,FLINT,32,,1.012948,0.000001,0.865421,0.033480,0.113749,0.000289
ITER,NTT,32,0,1.168221,0.000003,0.853555,0.012890,0.301682,0.000084
ITER,NTT,32,1,1.072023,0.000002,0.773384,0.012820,0.285741,0.000070
ITER,NTT,32,2,1.158164,0.000001,0.844650,0.012801,0.300630,0.000077
ITER,NTT,32,3,1.674211,0.000002,1.233334,0.017901,0.422860,0.000107
ITER,NTT,32,4,1.290268,0.000001,0.939864,0.014914,0.335402,0.000081
ITER,NTT,32,5,1.154433,0.000001,0.840494,0.012857,0.300999,0.000076
ITER,NTT,32,6,1.126347,0.000001,0.812916,0.012875,0.300472,0.000076
ITER,NTT,32,7,1.179633,0.000001,0.816329,0.015011,0.348195,0.000089
ITER,NTT,32,8,1.216179,0.000001,0.848301,0.015021,0.352760,0.000089
ITER,NTT,32,9,1.102470,0.000001,0.787920,0.012901,0.301554,0.000089
ITER,NTT,32,10,1.139310,0.000001,0.828164,0.012786,0.298278,0.000076
ITER,NTT,32,11,1.220808,0.000001,0.854078,0.014935,0.351699,0.000089
ITER,NTT,32,12,1.586989,0.000001,1.037086,0.022368,0.527390,0.000138
ITER,NTT,32,13,1.170295,0.000001,0.807293,0.015101,0.347806,0.000088
ITER,NTT,32,14,1.202726,0.000001,0.838677,0.015225,0.348722,0.000094
ITER,NTT,32,15,1.109981,0.000001,0.773369,0.012838,0.323678,0.000089
ITER,NTT,32,16,1.113969,0.000001,0.802517,0.012875,0.298494,0.000077
ITER,NTT,32,17,1.223056,0.000001,0.903588,0.014960,0.304424,0.000077
ITER,NTT,32,18,1.182961,0.000001,0.818471,0.015004,0.349354,0.000126
ITER,NTT,32,19,1.120720,0.000001,0.807720,0.013088,0.299827,0.000077
ITER,NTT,32,20,1.229025,0.000001,0.892633,0.014987,0.321321,0.000077
ITER,NTT,32,21,1.113117,0.000002,0.799670,0.012967,0.300395,0.000078
ITER,NTT,32,22,1.173337,0.000001,0.806501,0.014950,0.351790,0.000090
ITER,NTT,32,23,1.198977,0.000001,0.834033,0.014900,0.349945,0.000094
ITER,NTT,32,24,1.204882,0.000002,0.894098,0.012794,0.297900,0.000083
SUMMARY,NTT,32,,1.205284,0.000001,0.857946,0.014391,0.332853,0.000087
