row_type,backend,N,iteration,total_seconds,seedgen_seconds,sampling_seconds,pk_compute_seconds,finalize_seconds
ITER,FLINT,32,0,2.443753,0.000006,0.022756,2.396606,0.024381
ITER,FLINT,32,1,2.407396,0.000007,0.022833,2.362086,0.022464
ITER,FLINT,32,2,2.404315,0.000005,0.022735,2.358986,0.022584
ITER,FLINT,32,3,2.440017,0.000005,0.022067,2.394785,0.023156
ITER,FLINT,32,4,2.502603,0.000006,0.022370,2.456471,0.023752
ITER,FLINT,32,5,2.590046,0.000006,0.022948,2.541342,0.025746
ITER,FLINT,32,6,2.740089,0.000006,0.024498,2.689857,0.025725
ITER,FLINT,32,7,3.099885,0.000007,0.030231,3.041749,0.027893
ITER,FLINT,32,8,3.118126,0.000007,0.030141,3.059993,0.027981
ITER,FLINT,32,9,3.131294,0.000006,0.030436,3.072625,0.028222
ITER,FLINT,32,10,3.145167,0.000007,0.030204,3.086799,0.028153
ITER,FLINT,32,11,3.704593,0.000007,0.030064,3.637291,0.037224
ITER,FLINT,32,12,3.245911,0.000007,0.030059,3.183732,0.032108
ITER,FLINT,32,13,3.798048,0.000006,0.029962,3.739923,0.028152
ITER,FLINT,32,14,3.226711,0.000006,0.026391,3.168176,0.032134
ITER,FLINT,32,15,3.782895,0.000006,0.029938,3.715385,0.037561
ITER,FLINT,32,16,3.396235,0.000006,0.030072,3.336309,0.029843
ITER,FLINT,32,17,3.780112,0.000007,0.030183,3.712324,0.037595
ITER,FLINT,32,18,3.688758,0.000006,0.030068,3.626455,0.032225
ITER,FLINT,32,19,3.810962,0.000008,0.035046,3.738048,0.037854
ITER,FLINT,32,20,3.694707,0.000007,0.030009,3.632447,0.032239
ITER,FLINT,32,21,3.644571,0.000007,0.035045,3.571692,0.037821
ITER,FLINT,32,22,3.656021,0.000010,0.030346,3.587629,0.038030
ITER,FLINT,32,23,3.414538,0.000006,0.030104,3.353114,0.031309
ITER,FLINT,32,24,3.802543,0.000006,0.030441,3.734413,0.037677
SUMMARY,FLINT,32,,3.226772,0.000007,0.028358,3.167929,0.030473
ITER,NTT,32,0,10.510878,0.000008,0.030408,10.477436,0.003020
ITER,NTT,32,1,10.582872,0.000007,0.021362,10.558203,0.003295
ITER,NTT,32,2,11.808407,0.000007,0.024953,11.780587,0.002855
ITER,NTT,32,3,10.480265,0.000007,0.024967,10.452828,0.002457
ITER,NTT,32,4,11.136697,0.000007,0.021342,11.112905,0.002438
ITER,NTT,32,5,11.142712,0.000007,0.024977,11.114984,0.002738
ITER,NTT,32,6,11.279022,0.000007,0.021353,11.255160,0.002496
ITER,NTT,32,7,10.639330,0.000007,0.024934,10.611666,0.002717
ITER,NTT,32,8,11.152410,0.000007,0.024973,11.124708,0.002717
ITER,NTT,32,9,11.138455,0.000007,0.025022,11.110699,0.002722
ITER,NTT,32,10,10.821862,0.000009,0.037394,10.781744,0.002709
ITER,NTT,32,11,10.524155,0.000007,0.021335,10.500062,0.002747
ITER,NTT,32,12,11.884963,0.000007,0.024936,11.857662,0.002353
ITER,NTT,32,13,11.236441,0.000007,0.025030,11.208931,0.002466
ITER,NTT,32,14,10.612003,0.000007,0.021800,10.587440,0.002751
ITER,NTT,32,15,11.598552,0.000010,0.037411,11.558356,0.002769
ITER,NTT,32,16,11.332734,0.000007,0.024977,11.304484,0.003261
ITER,NTT,32,17,10.452624,0.000007,0.024975,10.424813,0.002825
ITER,NTT,32,18,11.806629,0.000008,0.024952,11.778888,0.002777
ITER,NTT,32,19,10.383570,0.000007,0.024917,10.356161,0.002481
ITER,NTT,32,20,10.735174,0.000007,0.021417,10.711016,0.002729
ITER,NTT,32,21,11.095951,0.000011,0.037464,11.055640,0.002831
ITER,NTT,32,22,11.756508,0.000007,0.024901,11.728864,0.002730
ITER,NTT,32,23,10.422787,0.000008,0.024902,10.395029,0.002844
ITER,NTT,32,24,11.470898,0.000007,0.024966,11.441845,0.004074
SUMMARY,NTT,32,,11.040236,0.000008,0.025827,11.011604,0.002792
