row_type,backend,N,iteration,measure,seconds
ITER,NTT2,1,0,keygen,0.010938
ITER,NTT2,1,1,keygen,0.007446
ITER,NTT2,1,2,keygen,0.007719
ITER,NTT2,1,3,keygen,0.007150
ITER,NTT2,1,4,keygen,0.007223
SUMMARY,NTT2,1,,keygen_avg,0.008095
ITER,NTT2,8,0,keygen,0.126207
ITER,NTT2,8,1,keygen,0.123466
ITER,NTT2,8,2,keygen,0.126006
ITER,NTT2,8,3,keygen,0.121575
ITER,NTT2,8,4,keygen,0.123612
SUMMARY,NTT2,8,,keygen_avg,0.124173
ITER,NTT2,16,0,keygen,0.421659
ITER,NTT2,16,1,keygen,0.414861
ITER,NTT2,16,2,keygen,0.418081
ITER,NTT2,16,3,keygen,0.414359
ITER,NTT2,16,4,keygen,0.418525
SUMMARY,NTT2,16,,keygen_avg,0.417497
ITER,NTT2,32,0,keygen,1.510602
ITER,NTT2,32,1,keygen,1.499468
ITER,NTT2,32,2,keygen,1.515282
ITER,NTT2,32,3,keygen,1.523688
ITER,NTT2,32,4,keygen,1.546621
SUMMARY,NTT2,32,,keygen_avg,1.519132
ITER,NTT,1,0,keygen,0.007322
ITER,NTT,1,1,keygen,0.007308
ITER,NTT,1,2,keygen,0.007467
ITER,NTT,1,3,keygen,0.007405
ITER,NTT,1,4,keygen,0.007451
SUMMARY,NTT,1,,keygen_avg,0.007391
ITER,NTT,8,0,keygen,0.452963
ITER,NTT,8,1,keygen,0.459880
ITER,NTT,8,2,keygen,0.456797
ITER,NTT,8,3,keygen,0.462346
ITER,NTT,8,4,keygen,0.462889
SUMMARY,NTT,8,,keygen_avg,0.458975
ITER,NTT,16,0,keygen,1.939775
ITER,NTT,16,1,keygen,1.976778
ITER,NTT,16,2,keygen,2.185715
ITER,NTT,16,3,keygen,2.386316
ITER,NTT,16,4,keygen,2.256662
SUMMARY,NTT,16,,keygen_avg,2.149049
ITER,NTT,32,0,keygen,10.207235
ITER,NTT,32,1,keygen,10.018528
ITER,NTT,32,2,keygen,10.291571
ITER,NTT,32,3,keygen,10.566007
ITER,NTT,32,4,keygen,10.540509
SUMMARY,NTT,32,,keygen_avg,10.324770
