row_type,backend,N,iteration,total_seconds,seedgen_seconds,sampling_seconds,pk_compute_seconds,finalize_seconds
ITER,FLINT,32,0,2.434996,0.000006,0.022746,2.387547,0.024690
ITER,FLINT,32,1,2.415930,0.000009,0.021814,2.371509,0.022593
ITER,FLINT,32,2,2.411060,0.000005,0.021869,2.366634,0.022548
ITER,FLINT,32,3,2.445963,0.000005,0.022067,2.400467,0.023420
ITER,FLINT,32,4,2.513440,0.000006,0.022908,2.465868,0.024654
ITER,FLINT,32,5,2.700107,0.000006,0.023416,2.650739,0.025941
ITER,FLINT,32,6,3.065617,0.000006,0.025015,3.008631,0.031961
ITER,FLINT,32,7,3.753968,0.000007,0.030784,3.695007,0.028165
ITER,FLINT,32,8,3.550987,0.000007,0.030467,3.475848,0.044659
ITER,FLINT,32,9,3.303029,0.000007,0.035647,3.237942,0.029426
ITER,FLINT,32,10,3.404322,0.000006,0.026804,3.332760,0.044747
ITER,FLINT,32,11,3.323502,0.000007,0.035464,3.255922,0.032103
ITER,FLINT,32,12,3.824717,0.000008,0.031642,3.760945,0.032116
ITER,FLINT,32,13,3.639280,0.000007,0.035564,3.571530,0.032174
ITER,FLINT,32,14,3.383574,0.000007,0.026729,3.311562,0.045270
ITER,FLINT,32,15,3.680426,0.000007,0.035766,3.612533,0.032115
ITER,FLINT,32,16,3.643784,0.000007,0.035170,3.570926,0.037675
ITER,FLINT,32,17,3.705367,0.000007,0.030233,3.642245,0.032878
ITER,FLINT,32,18,3.680828,0.000007,0.035342,3.613144,0.032330
ITER,FLINT,32,19,3.808321,0.000007,0.035594,3.735186,0.037529
ITER,FLINT,32,20,3.653216,0.000008,0.035135,3.580384,0.037684
ITER,FLINT,32,21,3.713495,0.000007,0.030651,3.645140,0.037692
ITER,FLINT,32,22,3.658447,0.000007,0.032752,3.587955,0.037726
ITER,FLINT,32,23,3.658273,0.000007,0.035339,3.585227,0.037694
ITER,FLINT,32,24,4.503353,0.000007,0.035320,4.430286,0.037734
SUMMARY,FLINT,32,,3.355040,0.000007,0.030170,3.291838,0.033021
ITER,NTT,32,0,10.584071,0.000007,0.021806,10.558733,0.003519
ITER,NTT,32,1,11.119691,0.000008,0.025140,11.091787,0.002750
ITER,NTT,32,2,11.101175,0.000006,0.021444,11.077232,0.002488
ITER,NTT,32,3,11.195110,0.000007,0.025096,11.167403,0.002598
ITER,NTT,32,4,11.262483,0.000007,0.025152,11.234128,0.003190
ITER,NTT,32,5,12.723875,0.000009,0.025253,12.695717,0.002889
ITER,NTT,32,6,11.819933,0.000009,0.030647,11.786880,0.002392
ITER,NTT,32,7,11.546794,0.000007,0.025328,11.517302,0.004151
ITER,NTT,32,8,11.714590,0.000008,0.030513,11.681322,0.002740
ITER,NTT,32,9,10.705511,0.000007,0.025439,10.677271,0.002788
ITER,NTT,32,10,10.732519,0.000008,0.030092,10.699664,0.002750
ITER,NTT,32,11,12.314727,0.000007,0.025021,12.286429,0.003263
ITER,NTT,32,12,11.905531,0.000008,0.025350,11.877383,0.002786
ITER,NTT,32,13,11.671048,0.000008,0.025623,11.641327,0.004084
ITER,NTT,32,14,11.653889,0.000008,0.030614,11.620464,0.002797
ITER,NTT,32,15,12.111768,0.000007,0.025315,12.084060,0.002380
ITER,NTT,32,16,11.685656,0.000007,0.021710,11.661160,0.002774
ITER,NTT,32,17,11.339043,0.000007,0.021788,11.314438,0.002805
ITER,NTT,32,18,11.199747,0.000007,0.025297,11.171672,0.002766
ITER,NTT,32,19,11.414979,0.000008,0.025414,11.386754,0.002798
ITER,NTT,32,20,11.634922,0.000010,0.038069,11.594072,0.002765
ITER,NTT,32,21,11.426398,0.000008,0.025433,11.398174,0.002778
ITER,NTT,32,22,11.633424,0.000006,0.021875,11.608764,0.002773
ITER,NTT,32,23,11.370849,0.000007,0.021824,11.346199,0.002814
ITER,NTT,32,24,11.927972,0.000007,0.025362,11.900180,0.002418
SUMMARY,NTT,32,,11.511828,0.000008,0.025784,11.483141,0.002890
ITER,NTT2,32,0,2.301783,0.000009,0.025435,2.273305,0.003027
ITER,NTT2,32,1,2.416661,0.000007,0.025331,2.387784,0.003531
ITER,NTT2,32,2,2.478360,0.000007,0.030595,2.444700,0.003052
ITER,NTT2,32,3,2.256650,0.000008,0.025367,2.227724,0.003546
ITER,NTT2,32,4,2.942769,0.000007,0.025411,2.913725,0.003619
ITER,NTT2,32,5,2.267029,0.000006,0.021729,2.241796,0.003493
ITER,NTT2,32,6,2.281402,0.000006,0.021764,2.256888,0.002738
ITER,NTT2,32,7,2.925071,0.000008,0.025367,2.896925,0.002766
ITER,NTT2,32,8,2.697960,0.000007,0.025401,2.669240,0.003306
ITER,NTT2,32,9,2.262351,0.000007,0.025384,2.234136,0.002818
ITER,NTT2,32,10,2.343833,0.000006,0.021748,2.319312,0.002760
ITER,NTT2,32,11,2.251210,0.000007,0.025283,2.223203,0.002711
ITER,NTT2,32,12,1.915187,0.000007,0.021502,1.891291,0.002382
ITER,NTT2,32,13,2.120260,0.000007,0.021441,2.095541,0.003267
ITER,NTT2,32,14,2.685452,0.000008,0.030068,2.652114,0.003255
ITER,NTT2,32,15,2.237290,0.000007,0.024959,2.209684,0.002635
ITER,NTT2,32,16,2.815288,0.000007,0.024926,2.787072,0.003276
ITER,NTT2,32,17,2.565633,0.000007,0.024939,2.537881,0.002800
ITER,NTT2,32,18,2.334711,0.000007,0.021374,2.310571,0.002753
ITER,NTT2,32,19,2.193872,0.000007,0.021394,2.170096,0.002370
ITER,NTT2,32,20,2.397588,0.000008,0.025067,2.369782,0.002726
ITER,NTT2,32,21,2.458757,0.000009,0.029945,2.426427,0.002372
ITER,NTT2,32,22,2.300890,0.000008,0.024960,2.273546,0.002372
ITER,NTT2,32,23,2.394215,0.000007,0.025101,2.366312,0.002789
ITER,NTT2,32,24,2.750151,0.000010,0.037603,2.709241,0.003289
SUMMARY,NTT2,32,,2.423775,0.000007,0.025284,2.395532,0.002946
