row_type,backend,N,iteration,total_seconds,shake_seconds,rejection_seconds,materialization_seconds,blocks_generated,coeffs_accepted,acceptance_ratio
ITER,FLINT,32,0,0.789300,0.414869,0.112687,0.154031,262144,262144,1.000000
ITER,FLINT,32,1,0.788252,0.413716,0.112607,0.154241,262144,262144,1.000000
ITER,FLINT,32,2,0.791195,0.413909,0.113494,0.154475,262144,262144,1.000000
ITER,FLINT,32,3,0.785260,0.412804,0.112111,0.153444,262144,262144,1.000000
ITER,FLINT,32,4,0.783156,0.411764,0.111838,0.153249,262144,262144,1.000000
ITER,FLINT,32,5,0.797460,0.417953,0.114827,0.156466,262144,262144,1.000000
ITER,FLINT,32,6,0.807106,0.423318,0.116854,0.157721,262144,262144,1.000000
ITER,FLINT,32,7,0.782882,0.411257,0.112526,0.153374,262144,262144,1.000000
ITER,FLINT,32,8,0.783208,0.412173,0.112572,0.152776,262144,262144,1.000000
ITER,FLINT,32,9,0.780022,0.410168,0.112425,0.152655,262144,262144,1.000000
ITER,FLINT,32,10,0.785089,0.413156,0.113252,0.153106,262144,262144,1.000000
ITER,FLINT,32,11,0.792210,0.416648,0.113728,0.154999,262144,262144,1.000000
ITER,FLINT,32,12,0.793822,0.417508,0.114049,0.155144,262144,262144,1.000000
ITER,FLINT,32,13,0.797449,0.419392,0.114877,0.155660,262144,262144,1.000000
ITER,FLINT,32,14,0.808022,0.425131,0.115874,0.158462,262144,262144,1.000000
ITER,FLINT,32,15,0.810988,0.426339,0.116620,0.159055,262144,262144,1.000000
ITER,FLINT,32,16,0.813024,0.428094,0.116256,0.159079,262144,262144,1.000000
ITER,FLINT,32,17,0.825489,0.433730,0.119284,0.161677,262144,262144,1.000000
ITER,FLINT,32,18,0.842876,0.439666,0.122098,0.166380,262144,262144,1.000000
ITER,FLINT,32,19,0.828698,0.435893,0.119652,0.161676,262144,262144,1.000000
ITER,FLINT,32,20,0.842124,0.442439,0.121320,0.164473,262144,262144,1.000000
ITER,FLINT,32,21,0.851276,0.447694,0.122508,0.166514,262144,262144,1.000000
ITER,FLINT,32,22,0.858336,0.451109,0.122670,0.167425,262144,262144,1.000000
ITER,FLINT,32,23,0.887947,0.467435,0.126512,0.173111,262144,262144,1.000000
ITER,FLINT,32,24,0.886661,0.468177,0.126110,0.173081,262144,262144,1.000000
SUMMARY,FLINT,32,,0.812474,0.426974,0.116670,0.158891,262144.00,262144.00,1.000000
ITER,NTT,32,0,0.712743,0.462650,0.128373,0.002282,262144,262144,1.000000
ITER,NTT,32,1,0.711734,0.463361,0.128421,0.002277,262144,262144,1.000000
ITER,NTT,32,2,0.799847,0.519582,0.144534,0.002617,262144,262144,1.000000
ITER,NTT,32,3,0.825353,0.538659,0.148775,0.002685,262144,262144,1.000000
ITER,NTT,32,4,0.769479,0.501139,0.138851,0.002500,262144,262144,1.000000
ITER,NTT,32,5,0.871006,0.564942,0.158990,0.002848,262144,262144,1.000000
ITER,NTT,32,6,0.870135,0.566188,0.158129,0.002848,262144,262144,1.000000
ITER,NTT,32,7,0.784464,0.510599,0.141803,0.002578,262144,262144,1.000000
ITER,NTT,32,8,0.815869,0.529750,0.148276,0.002656,262144,262144,1.000000
ITER,NTT,32,9,0.838568,0.543847,0.153212,0.002738,262144,262144,1.000000
ITER,NTT,32,10,0.762417,0.496106,0.137767,0.002484,262144,262144,1.000000
ITER,NTT,32,11,0.872088,0.570535,0.155724,0.002809,262144,262144,1.000000
ITER,NTT,32,12,0.869877,0.567418,0.155933,0.002851,262144,262144,1.000000
ITER,NTT,32,13,0.877013,0.572287,0.156104,0.002839,262144,262144,1.000000
ITER,NTT,32,14,1.071926,0.697395,0.193689,0.003515,262144,262144,1.000000
ITER,NTT,32,15,1.063435,0.691094,0.191874,0.003486,262144,262144,1.000000
ITER,NTT,32,16,0.903218,0.587322,0.162922,0.002926,262144,262144,1.000000
ITER,NTT,32,17,0.802032,0.523037,0.145278,0.002609,262144,262144,1.000000
ITER,NTT,32,18,0.796083,0.519056,0.142393,0.002594,262144,262144,1.000000
ITER,NTT,32,19,0.852918,0.554734,0.154580,0.002714,262144,262144,1.000000
ITER,NTT,32,20,0.764098,0.499037,0.136419,0.002458,262144,262144,1.000000
ITER,NTT,32,21,0.851764,0.553253,0.155800,0.002784,262144,262144,1.000000
ITER,NTT,32,22,0.868271,0.565096,0.157537,0.002789,262144,262144,1.000000
ITER,NTT,32,23,0.871845,0.567511,0.157466,0.002840,262144,262144,1.000000
ITER,NTT,32,24,1.010692,0.658495,0.181092,0.003307,262144,262144,1.000000
SUMMARY,NTT,32,,0.849475,0.552924,0.153358,0.002761,262144.00,262144.00,1.000000
