Connected to Firebase database: new-proyect-506c9
row_type,backend,N,iteration,measure,seconds
ITER,FLINT,32,0,handler_full_flow,8.045771
ITER,FLINT,32,1,handler_full_flow,14.501370
ITER,FLINT,32,2,handler_full_flow,11.804941
ITER,FLINT,32,3,handler_full_flow,12.244332
ITER,FLINT,32,4,handler_full_flow,11.423473
ITER,FLINT,32,5,handler_full_flow,12.076229
ITER,FLINT,32,6,handler_full_flow,11.445759
ITER,FLINT,32,7,handler_full_flow,12.392736
ITER,FLINT,32,8,handler_full_flow,12.202016
ITER,FLINT,32,9,handler_full_flow,12.224345
ITER,FLINT,32,10,handler_full_flow,12.242177
ITER,FLINT,32,11,handler_full_flow,12.027008
ITER,FLINT,32,12,handler_full_flow,12.281981
ITER,FLINT,32,13,handler_full_flow,11.591057
ITER,FLINT,32,14,handler_full_flow,12.278293
ITER,FLINT,32,15,handler_full_flow,12.423203
ITER,FLINT,32,16,handler_full_flow,12.173898
ITER,FLINT,32,17,handler_full_flow,12.325083
ITER,FLINT,32,18,handler_full_flow,12.635075
ITER,FLINT,32,19,handler_full_flow,11.861011
ITER,FLINT,32,20,handler_full_flow,12.400781
ITER,FLINT,32,21,handler_full_flow,12.267450
ITER,FLINT,32,22,handler_full_flow,12.519071
ITER,FLINT,32,23,handler_full_flow,11.938886
ITER,FLINT,32,24,handler_full_flow,11.750220
SUMMARY,FLINT,32,,handler_full_flow_avg,12.043047
