Connected to Firebase database: new-proyect-506c9
row_type,backend,N,iteration,measure,seconds
ITER,NTT,32,0,handler_full_flow,21.973607
ITER,NTT,32,1,handler_full_flow,24.475647
ITER,NTT,32,2,handler_full_flow,26.445612
ITER,NTT,32,3,handler_full_flow,26.448750
ITER,NTT,32,4,handler_full_flow,26.420788
ITER,NTT,32,5,handler_full_flow,26.118255
ITER,NTT,32,6,handler_full_flow,26.312495
ITER,NTT,32,7,handler_full_flow,26.487298
ITER,NTT,32,8,handler_full_flow,26.310116
ITER,NTT,32,9,handler_full_flow,26.746379
ITER,NTT,32,10,handler_full_flow,26.287649
ITER,NTT,32,11,handler_full_flow,26.640232
ITER,NTT,32,12,handler_full_flow,26.370196
ITER,NTT,32,13,handler_full_flow,26.358838
ITER,NTT,32,14,handler_full_flow,26.405879
ITER,NTT,32,15,handler_full_flow,26.727175
ITER,NTT,32,16,handler_full_flow,26.469844
ITER,NTT,32,17,handler_full_flow,27.294194
ITER,NTT,32,18,handler_full_flow,26.638866
ITER,NTT,32,19,handler_full_flow,27.126640
ITER,NTT,32,20,handler_full_flow,27.312683
ITER,NTT,32,21,handler_full_flow,27.214940
ITER,NTT,32,22,handler_full_flow,26.600281
ITER,NTT,32,23,handler_full_flow,26.665826
ITER,NTT,32,24,handler_full_flow,27.106936
SUMMARY,NTT,32,,handler_full_flow_avg,26.358365
