Connected to Firebase database: new-proyect-506c9
row_type,backend,N,iteration,measure,seconds
ITER,RUST,32,0,handler_full_flow,0.281624
ITER,RUST,32,1,handler_full_flow,0.266234
ITER,RUST,32,2,handler_full_flow,0.265602
ITER,RUST,32,3,handler_full_flow,0.269936
ITER,RUST,32,4,handler_full_flow,0.266294
ITER,RUST,32,5,handler_full_flow,0.268011
ITER,RUST,32,6,handler_full_flow,0.266769
ITER,RUST,32,7,handler_full_flow,0.265551
ITER,RUST,32,8,handler_full_flow,0.266381
ITER,RUST,32,9,handler_full_flow,0.268457
ITER,RUST,32,10,handler_full_flow,0.266778
ITER,RUST,32,11,handler_full_flow,0.266870
ITER,RUST,32,12,handler_full_flow,0.265578
ITER,RUST,32,13,handler_full_flow,0.266961
ITER,RUST,32,14,handler_full_flow,0.267728
ITER,RUST,32,15,handler_full_flow,0.265801
ITER,RUST,32,16,handler_full_flow,0.265037
ITER,RUST,32,17,handler_full_flow,0.266012
ITER,RUST,32,18,handler_full_flow,0.265683
ITER,RUST,32,19,handler_full_flow,0.267741
ITER,RUST,32,20,handler_full_flow,0.266073
ITER,RUST,32,21,handler_full_flow,0.267511
ITER,RUST,32,22,handler_full_flow,0.270322
ITER,RUST,32,23,handler_full_flow,0.269421
ITER,RUST,32,24,handler_full_flow,0.271564
SUMMARY,RUST,32,,handler_full_flow_avg,0.267758
