Connected to Firebase database: new-proyect-506c9
row_type,backend,N,iteration,measure,seconds
ITER,FLINT,32,0,handler_first_step,3.147195
ITER,FLINT,32,0,handler_second_step,0.694627
ITER,FLINT,32,0,handler_final_step,0.676376
ITER,FLINT,32,0,handler_steps_total,4.518198
ITER,FLINT,32,1,handler_first_step,3.654519
ITER,FLINT,32,1,handler_second_step,0.963676
ITER,FLINT,32,1,handler_final_step,0.872258
ITER,FLINT,32,1,handler_steps_total,5.490453
ITER,FLINT,32,2,handler_first_step,4.097430
ITER,FLINT,32,2,handler_second_step,0.931651
ITER,FLINT,32,2,handler_final_step,0.828221
ITER,FLINT,32,2,handler_steps_total,5.857302
ITER,FLINT,32,3,handler_first_step,4.456256
ITER,FLINT,32,3,handler_second_step,0.939197
ITER,FLINT,32,3,handler_final_step,0.940974
ITER,FLINT,32,3,handler_steps_total,6.336427
ITER,FLINT,32,4,handler_first_step,4.671632
ITER,FLINT,32,4,handler_second_step,0.974980
ITER,FLINT,32,4,handler_final_step,1.077238
ITER,FLINT,32,4,handler_steps_total,6.723849
ITER,FLINT,32,5,handler_first_step,4.943712
ITER,FLINT,32,5,handler_second_step,1.534487
ITER,FLINT,32,5,handler_final_step,1.191175
ITER,FLINT,32,5,handler_steps_total,7.669374
ITER,FLINT,32,6,handler_first_step,4.766565
ITER,FLINT,32,6,handler_second_step,1.064348
ITER,FLINT,32,6,handler_final_step,0.992635
ITER,FLINT,32,6,handler_steps_total,6.823548
ITER,FLINT,32,7,handler_first_step,4.691643
ITER,FLINT,32,7,handler_second_step,1.054291
ITER,FLINT,32,7,handler_final_step,1.004052
ITER,FLINT,32,7,handler_steps_total,6.749985
ITER,FLINT,32,8,handler_first_step,4.730075
ITER,FLINT,32,8,handler_second_step,1.109686
ITER,FLINT,32,8,handler_final_step,0.953360
ITER,FLINT,32,8,handler_steps_total,6.793120
ITER,FLINT,32,9,handler_first_step,5.368462
ITER,FLINT,32,9,handler_second_step,0.987724
ITER,FLINT,32,9,handler_final_step,1.073765
ITER,FLINT,32,9,handler_steps_total,7.429951
SUMMARY,FLINT,32,,handler_first_step_avg,4.715722
SUMMARY,FLINT,32,,handler_second_step_avg,1.074546
SUMMARY,FLINT,32,,handler_final_step_avg,1.007677
SUMMARY,FLINT,32,,handler_steps_total_avg,6.797944
ITER,NTT,32,0,handler_first_step,11.392505
ITER,NTT,32,0,handler_second_step,1.201564
ITER,NTT,32,0,handler_final_step,1.190004
ITER,NTT,32,0,handler_steps_total,13.784073
ITER,NTT,32,1,handler_first_step,11.911756
ITER,NTT,32,1,handler_second_step,1.205272
ITER,NTT,32,1,handler_final_step,1.184944
ITER,NTT,32,1,handler_steps_total,14.301972
ITER,NTT,32,2,handler_first_step,11.873037
ITER,NTT,32,2,handler_second_step,1.132453
ITER,NTT,32,2,handler_final_step,1.273414
ITER,NTT,32,2,handler_steps_total,14.278903
