Connected to Firebase database: new-proyect-506c9
row_type,backend,N,iteration,measure,seconds
ITER,FLINT,32,0,handler_first_step,3.121175
ITER,FLINT,32,0,handler_second_step,0.693221
ITER,FLINT,32,0,handler_final_step,0.674703
ITER,FLINT,32,0,handler_steps_total,4.489099
ITER,FLINT,32,1,handler_first_step,3.416162
ITER,FLINT,32,1,handler_second_step,0.764068
ITER,FLINT,32,1,handler_final_step,0.742852
ITER,FLINT,32,1,handler_steps_total,4.923082
ITER,FLINT,32,2,handler_first_step,4.045815
ITER,FLINT,32,2,handler_second_step,0.964365
ITER,FLINT,32,2,handler_final_step,0.939908
ITER,FLINT,32,2,handler_steps_total,5.950087
ITER,FLINT,32,3,handler_first_step,4.720448
ITER,FLINT,32,3,handler_second_step,0.967405
ITER,FLINT,32,3,handler_final_step,0.830658
ITER,FLINT,32,3,handler_steps_total,6.518511
ITER,FLINT,32,4,handler_first_step,4.428308
ITER,FLINT,32,4,handler_second_step,0.915490
ITER,FLINT,32,4,handler_final_step,0.939065
ITER,FLINT,32,4,handler_steps_total,6.282864
SUMMARY,FLINT,32,,handler_first_step_avg,4.398190
SUMMARY,FLINT,32,,handler_second_step_avg,0.949087
SUMMARY,FLINT,32,,handler_final_step_avg,0.903210
SUMMARY,FLINT,32,,handler_steps_total_avg,6.250487
ITER,NTT,32,0,handler_first_step,11.795439
ITER,NTT,32,0,handler_second_step,1.244636
ITER,NTT,32,0,handler_final_step,1.059551
ITER,NTT,32,0,handler_steps_total,14.099625
ITER,NTT,32,1,handler_first_step,11.924729
ITER,NTT,32,1,handler_second_step,1.267479
ITER,NTT,32,1,handler_final_step,1.122064
ITER,NTT,32,1,handler_steps_total,14.314272
ITER,NTT,32,2,handler_first_step,12.042449
ITER,NTT,32,2,handler_second_step,1.150414
ITER,NTT,32,2,handler_final_step,1.193897
ITER,NTT,32,2,handler_steps_total,14.386760
ITER,NTT,32,3,handler_first_step,12.245469
ITER,NTT,32,3,handler_second_step,1.145693
ITER,NTT,32,3,handler_final_step,1.233717
ITER,NTT,32,3,handler_steps_total,14.624879
ITER,NTT,32,4,handler_first_step,11.968742
ITER,NTT,32,4,handler_second_step,1.419811
ITER,NTT,32,4,handler_final_step,1.643406
ITER,NTT,32,4,handler_steps_total,15.031959
SUMMARY,NTT,32,,handler_first_step_avg,12.085553
SUMMARY,NTT,32,,handler_second_step_avg,1.238639
SUMMARY,NTT,32,,handler_final_step_avg,1.357007
SUMMARY,NTT,32,,handler_steps_total_avg,14.681199
ITER,NTT2,32,0,handler_first_step,3.528274
ITER,NTT2,32,0,handler_second_step,1.111542
ITER,NTT2,32,0,handler_final_step,1.149603
ITER,NTT2,32,0,handler_steps_total,5.789419
ITER,NTT2,32,1,handler_first_step,2.926676
ITER,NTT2,32,1,handler_second_step,1.098954
ITER,NTT2,32,1,handler_final_step,1.148582
ITER,NTT2,32,1,handler_steps_total,5.174211
ITER,NTT2,32,2,handler_first_step,3.042935
ITER,NTT2,32,2,handler_second_step,1.162233
ITER,NTT2,32,2,handler_final_step,1.549238
ITER,NTT2,32,2,handler_steps_total,5.754406
ITER,NTT2,32,3,handler_first_step,3.030709
ITER,NTT2,32,3,handler_second_step,1.102540
ITER,NTT2,32,3,handler_final_step,1.038749
ITER,NTT2,32,3,handler_steps_total,5.171998
ITER,NTT2,32,4,handler_first_step,3.342714
ITER,NTT2,32,4,handler_second_step,1.505106
ITER,NTT2,32,4,handler_final_step,1.144440
ITER,NTT2,32,4,handler_steps_total,5.992259
SUMMARY,NTT2,32,,handler_first_step_avg,3.138786
SUMMARY,NTT2,32,,handler_second_step_avg,1.256626
SUMMARY,NTT2,32,,handler_final_step_avg,1.244143
SUMMARY,NTT2,32,,handler_steps_total_avg,5.639555
ITER,RUST,32,0,handler_first_step,0.211763
ITER,RUST,32,0,handler_second_step,0.005976
ITER,RUST,32,0,handler_final_step,0.005326
ITER,RUST,32,0,handler_steps_total,0.223064
ITER,RUST,32,1,handler_first_step,0.174973
ITER,RUST,32,1,handler_second_step,0.005173
ITER,RUST,32,1,handler_final_step,0.004561
ITER,RUST,32,1,handler_steps_total,0.184706
ITER,RUST,32,2,handler_first_step,0.176500
ITER,RUST,32,2,handler_second_step,0.005112
ITER,RUST,32,2,handler_final_step,0.004553
ITER,RUST,32,2,handler_steps_total,0.186165
ITER,RUST,32,3,handler_first_step,0.204735
ITER,RUST,32,3,handler_second_step,0.005971
ITER,RUST,32,3,handler_final_step,0.005341
ITER,RUST,32,3,handler_steps_total,0.216047
ITER,RUST,32,4,handler_first_step,0.205387
ITER,RUST,32,4,handler_second_step,0.005340
ITER,RUST,32,4,handler_final_step,0.004551
ITER,RUST,32,4,handler_steps_total,0.215279
SUMMARY,RUST,32,,handler_first_step_avg,0.195541
SUMMARY,RUST,32,,handler_second_step_avg,0.005475
SUMMARY,RUST,32,,handler_final_step_avg,0.004815
SUMMARY,RUST,32,,handler_steps_total_avg,0.205830
