row_type,backend,N,iteration,measure,seconds
ITER,FLINT,1,0,keygen,0.003397
ITER,FLINT,1,1,keygen,0.003153
ITER,FLINT,1,2,keygen,0.003090
ITER,FLINT,1,3,keygen,0.003194
ITER,FLINT,1,4,keygen,0.002993
ITER,FLINT,1,5,keygen,0.003419
ITER,FLINT,1,6,keygen,0.003203
ITER,FLINT,1,7,keygen,0.003000
ITER,FLINT,1,8,keygen,0.002995
ITER,FLINT,1,9,keygen,0.003049
ITER,FLINT,1,10,keygen,0.003065
ITER,FLINT,1,11,keygen,0.002981
ITER,FLINT,1,12,keygen,0.002961
ITER,FLINT,1,13,keygen,0.002976
ITER,FLINT,1,14,keygen,0.002959
ITER,FLINT,1,15,keygen,0.002968
ITER,FLINT,1,16,keygen,0.003007
ITER,FLINT,1,17,keygen,0.003049
ITER,FLINT,1,18,keygen,0.002998
ITER,FLINT,1,19,keygen,0.003049
ITER,FLINT,1,20,keygen,0.002993
ITER,FLINT,1,21,keygen,0.002947
ITER,FLINT,1,22,keygen,0.002961
ITER,FLINT,1,23,keygen,0.003272
ITER,FLINT,1,24,keygen,0.002954
SUMMARY,FLINT,1,,keygen_avg,0.003065
ITER,FLINT,2,0,keygen,0.013264
ITER,FLINT,2,1,keygen,0.012456
ITER,FLINT,2,2,keygen,0.018291
ITER,FLINT,2,3,keygen,0.020078
ITER,FLINT,2,4,keygen,0.012572
ITER,FLINT,2,5,keygen,0.011918
ITER,FLINT,2,6,keygen,0.011866
ITER,FLINT,2,7,keygen,0.011831
ITER,FLINT,2,8,keygen,0.011953
ITER,FLINT,2,9,keygen,0.011856
ITER,FLINT,2,10,keygen,0.011891
ITER,FLINT,2,11,keygen,0.012223
ITER,FLINT,2,12,keygen,0.011882
ITER,FLINT,2,13,keygen,0.012177
ITER,FLINT,2,14,keygen,0.011885
ITER,FLINT,2,15,keygen,0.011850
ITER,FLINT,2,16,keygen,0.011908
ITER,FLINT,2,17,keygen,0.011898
ITER,FLINT,2,18,keygen,0.012007
ITER,FLINT,2,19,keygen,0.011909
ITER,FLINT,2,20,keygen,0.011934
ITER,FLINT,2,21,keygen,0.011916
