row_type,backend,N,iteration,measure,seconds
ITER,FLINT,1,0,setup_A,0.000702
ITER,FLINT,1,1,setup_A,0.000613
ITER,FLINT,1,2,setup_A,0.000566
ITER,FLINT,1,3,setup_A,0.000644
ITER,FLINT,1,4,setup_A,0.000652
ITER,FLINT,1,5,setup_A,0.000574
ITER,FLINT,1,6,setup_A,0.000648
ITER,FLINT,1,7,setup_A,0.000602
ITER,FLINT,1,8,setup_A,0.000573
ITER,FLINT,1,9,setup_A,0.000637
ITER,FLINT,1,10,setup_A,0.000615
ITER,FLINT,1,11,setup_A,0.000545
ITER,FLINT,1,12,setup_A,0.000646
ITER,FLINT,1,13,setup_A,0.000619
ITER,FLINT,1,14,setup_A,0.000591
ITER,FLINT,1,15,setup_A,0.000599
ITER,FLINT,1,16,setup_A,0.000626
ITER,FLINT,1,17,setup_A,0.000559
ITER,FLINT,1,18,setup_A,0.000612
ITER,FLINT,1,19,setup_A,0.000611
ITER,FLINT,1,20,setup_A,0.000570
ITER,FLINT,1,21,setup_A,0.000612
ITER,FLINT,1,22,setup_A,0.000603
ITER,FLINT,1,23,setup_A,0.000559
ITER,FLINT,1,24,setup_A,0.000593
SUMMARY,FLINT,1,,setup_A_avg,0.000607
ITER,FLINT,2,0,setup_A,0.002614
ITER,FLINT,2,1,setup_A,0.002489
ITER,FLINT,2,2,setup_A,0.002539
ITER,FLINT,2,3,setup_A,0.002466
ITER,FLINT,2,4,setup_A,0.002421
ITER,FLINT,2,5,setup_A,0.002438
ITER,FLINT,2,6,setup_A,0.002438
ITER,FLINT,2,7,setup_A,0.002446
ITER,FLINT,2,8,setup_A,0.002402
ITER,FLINT,2,9,setup_A,0.002541
ITER,FLINT,2,10,setup_A,0.002458
ITER,FLINT,2,11,setup_A,0.002422
ITER,FLINT,2,12,setup_A,0.002428
ITER,FLINT,2,13,setup_A,0.002428
ITER,FLINT,2,14,setup_A,0.002394
ITER,FLINT,2,15,setup_A,0.002451
ITER,FLINT,2,16,setup_A,0.002396
ITER,FLINT,2,17,setup_A,0.002493
ITER,FLINT,2,18,setup_A,0.002439
ITER,FLINT,2,19,setup_A,0.002407
ITER,FLINT,2,20,setup_A,0.002397
ITER,FLINT,2,21,setup_A,0.002535
ITER,FLINT,2,22,setup_A,0.002583
ITER,FLINT,2,23,setup_A,0.002668
ITER,FLINT,2,24,setup_A,0.002408
SUMMARY,FLINT,2,,setup_A_avg,0.002468
ITER,FLINT,3,0,setup_A,0.007092
ITER,FLINT,3,1,setup_A,0.006323
ITER,FLINT,3,2,setup_A,0.005693
ITER,FLINT,3,3,setup_A,0.005515
ITER,FLINT,3,4,setup_A,0.005465
ITER,FLINT,3,5,setup_A,0.005480
ITER,FLINT,3,6,setup_A,0.005853
ITER,FLINT,3,7,setup_A,0.005683
ITER,FLINT,3,8,setup_A,0.005538
ITER,FLINT,3,9,setup_A,0.005454
ITER,FLINT,3,10,setup_A,0.005475
ITER,FLINT,3,11,setup_A,0.005428
ITER,FLINT,3,12,setup_A,0.005473
ITER,FLINT,3,13,setup_A,0.005523
ITER,FLINT,3,14,setup_A,0.005501
ITER,FLINT,3,15,setup_A,0.005500
ITER,FLINT,3,16,setup_A,0.005476
ITER,FLINT,3,17,setup_A,0.005522
ITER,FLINT,3,18,setup_A,0.005421
ITER,FLINT,3,19,setup_A,0.005400
ITER,FLINT,3,20,setup_A,0.005497
ITER,FLINT,3,21,setup_A,0.005528
ITER,FLINT,3,22,setup_A,0.005514
ITER,FLINT,3,23,setup_A,0.005508
ITER,FLINT,3,24,setup_A,0.005552
SUMMARY,FLINT,3,,setup_A_avg,0.005617
ITER,FLINT,4,0,setup_A,0.010137
ITER,FLINT,4,1,setup_A,0.009720
ITER,FLINT,4,2,setup_A,0.010263
ITER,FLINT,4,3,setup_A,0.009863
ITER,FLINT,4,4,setup_A,0.009693
ITER,FLINT,4,5,setup_A,0.009733
ITER,FLINT,4,6,setup_A,0.009828
ITER,FLINT,4,7,setup_A,0.009669
ITER,FLINT,4,8,setup_A,0.009675
ITER,FLINT,4,9,setup_A,0.009772
ITER,FLINT,4,10,setup_A,0.009744
ITER,FLINT,4,11,setup_A,0.009746
ITER,FLINT,4,12,setup_A,0.009648
ITER,FLINT,4,13,setup_A,0.009694
ITER,FLINT,4,14,setup_A,0.009845
ITER,FLINT,4,15,setup_A,0.009784
ITER,FLINT,4,16,setup_A,0.009660
