row_type,backend,N,iteration,measure,seconds
ITER,NTT,1,0,setup_A,0.000416
ITER,NTT,1,1,setup_A,0.000401
ITER,NTT,1,2,setup_A,0.000395
ITER,NTT,1,3,setup_A,0.000457
ITER,NTT,1,4,setup_A,0.000432
ITER,NTT,1,5,setup_A,0.000431
ITER,NTT,1,6,setup_A,0.000404
ITER,NTT,1,7,setup_A,0.000425
ITER,NTT,1,8,setup_A,0.000396
ITER,NTT,1,9,setup_A,0.000426
ITER,NTT,1,10,setup_A,0.000447
ITER,NTT,1,11,setup_A,0.000395
ITER,NTT,1,12,setup_A,0.000396
ITER,NTT,1,13,setup_A,0.000396
ITER,NTT,1,14,setup_A,0.000456
ITER,NTT,1,15,setup_A,0.000449
ITER,NTT,1,16,setup_A,0.000458
ITER,NTT,1,17,setup_A,0.000397
ITER,NTT,1,18,setup_A,0.000400
ITER,NTT,1,19,setup_A,0.000479
ITER,NTT,1,20,setup_A,0.000634
ITER,NTT,1,21,setup_A,0.000401
ITER,NTT,1,22,setup_A,0.000399
ITER,NTT,1,23,setup_A,0.001145
ITER,NTT,1,24,setup_A,0.000760
ITER,NTT,1,25,setup_A,0.000710
ITER,NTT,1,26,setup_A,0.000983
ITER,NTT,1,27,setup_A,0.000880
ITER,NTT,1,28,setup_A,0.000809
ITER,NTT,1,29,setup_A,0.000786
ITER,NTT,1,30,setup_A,0.000782
ITER,NTT,1,31,setup_A,0.000787
ITER,NTT,1,32,setup_A,0.000791
ITER,NTT,1,33,setup_A,0.000787
ITER,NTT,1,34,setup_A,0.000810
ITER,NTT,1,35,setup_A,0.000760
ITER,NTT,1,36,setup_A,0.000812
ITER,NTT,1,37,setup_A,0.000815
ITER,NTT,1,38,setup_A,0.000842
ITER,NTT,1,39,setup_A,0.000785
ITER,NTT,1,40,setup_A,0.000792
ITER,NTT,1,41,setup_A,0.000733
ITER,NTT,1,42,setup_A,0.000799
ITER,NTT,1,43,setup_A,0.000726
ITER,NTT,1,44,setup_A,0.000841
ITER,NTT,1,45,setup_A,0.000796
ITER,NTT,1,46,setup_A,0.000816
ITER,NTT,1,47,setup_A,0.000797
ITER,NTT,1,48,setup_A,0.000750
ITER,NTT,1,49,setup_A,0.000493
SUMMARY,NTT,1,,setup_A_avg,0.000630
ITER,NTT,2,0,setup_A,0.001916
ITER,NTT,2,1,setup_A,0.001836
ITER,NTT,2,2,setup_A,0.001802
ITER,NTT,2,3,setup_A,0.001824
ITER,NTT,2,4,setup_A,0.001791
ITER,NTT,2,5,setup_A,0.001826
ITER,NTT,2,6,setup_A,0.001886
ITER,NTT,2,7,setup_A,0.001793
ITER,NTT,2,8,setup_A,0.001837
ITER,NTT,2,9,setup_A,0.001817
ITER,NTT,2,10,setup_A,0.001828
ITER,NTT,2,11,setup_A,0.001830
ITER,NTT,2,12,setup_A,0.001832
ITER,NTT,2,13,setup_A,0.001823
ITER,NTT,2,14,setup_A,0.001841
ITER,NTT,2,15,setup_A,0.001794
ITER,NTT,2,16,setup_A,0.001773
ITER,NTT,2,17,setup_A,0.002352
ITER,NTT,2,18,setup_A,0.001836
ITER,NTT,2,19,setup_A,0.001842
ITER,NTT,2,20,setup_A,0.001774
ITER,NTT,2,21,setup_A,0.001845
ITER,NTT,2,22,setup_A,0.001806
ITER,NTT,2,23,setup_A,0.001829
ITER,NTT,2,24,setup_A,0.001842
ITER,NTT,2,25,setup_A,0.001796
ITER,NTT,2,26,setup_A,0.001869
ITER,NTT,2,27,setup_A,0.001810
ITER,NTT,2,28,setup_A,0.001760
ITER,NTT,2,29,setup_A,0.001838
ITER,NTT,2,30,setup_A,0.001804
ITER,NTT,2,31,setup_A,0.001779
ITER,NTT,2,32,setup_A,0.001856
ITER,NTT,2,33,setup_A,0.001829
ITER,NTT,2,34,setup_A,0.001837
ITER,NTT,2,35,setup_A,0.001871
ITER,NTT,2,36,setup_A,0.001769
ITER,NTT,2,37,setup_A,0.001916
ITER,NTT,2,38,setup_A,0.001802
ITER,NTT,2,39,setup_A,0.001773
ITER,NTT,2,40,setup_A,0.001839
ITER,NTT,2,41,setup_A,0.001833
ITER,NTT,2,42,setup_A,0.001847
ITER,NTT,2,43,setup_A,0.001832
ITER,NTT,2,44,setup_A,0.001779
ITER,NTT,2,45,setup_A,0.001931
ITER,NTT,2,46,setup_A,0.001819
ITER,NTT,2,47,setup_A,0.001777
ITER,NTT,2,48,setup_A,0.001826
ITER,NTT,2,49,setup_A,0.001835
SUMMARY,NTT,2,,setup_A_avg,0.001836
ITER,NTT,3,0,setup_A,0.004198
ITER,NTT,3,1,setup_A,0.004120
ITER,NTT,3,2,setup_A,0.004086
ITER,NTT,3,3,setup_A,0.004097
ITER,NTT,3,4,setup_A,0.004056
ITER,NTT,3,5,setup_A,0.004050
ITER,NTT,3,6,setup_A,0.004097
ITER,NTT,3,7,setup_A,0.004053
ITER,NTT,3,8,setup_A,0.004146
ITER,NTT,3,9,setup_A,0.004075
ITER,NTT,3,10,setup_A,0.004194
ITER,NTT,3,11,setup_A,0.004073
ITER,NTT,3,12,setup_A,0.004111
ITER,NTT,3,13,setup_A,0.004185
ITER,NTT,3,14,setup_A,0.004111
ITER,NTT,3,15,setup_A,0.004096
ITER,NTT,3,16,setup_A,0.004096
ITER,NTT,3,17,setup_A,0.004107
ITER,NTT,3,18,setup_A,0.004130
ITER,NTT,3,19,setup_A,0.004096
ITER,NTT,3,20,setup_A,0.004106
ITER,NTT,3,21,setup_A,0.004021
ITER,NTT,3,22,setup_A,0.004119
ITER,NTT,3,23,setup_A,0.004054
ITER,NTT,3,24,setup_A,0.004098
ITER,NTT,3,25,setup_A,0.004093
ITER,NTT,3,26,setup_A,0.004187
ITER,NTT,3,27,setup_A,0.004102
ITER,NTT,3,28,setup_A,0.004153
ITER,NTT,3,29,setup_A,0.004068
ITER,NTT,3,30,setup_A,0.004138
ITER,NTT,3,31,setup_A,0.004043
ITER,NTT,3,32,setup_A,0.004055
ITER,NTT,3,33,setup_A,0.004114
ITER,NTT,3,34,setup_A,0.004052
ITER,NTT,3,35,setup_A,0.004120
ITER,NTT,3,36,setup_A,0.004166
ITER,NTT,3,37,setup_A,0.004192
ITER,NTT,3,38,setup_A,0.004085
ITER,NTT,3,39,setup_A,0.004086
ITER,NTT,3,40,setup_A,0.004040
ITER,NTT,3,41,setup_A,0.004143
ITER,NTT,3,42,setup_A,0.004072
ITER,NTT,3,43,setup_A,0.004151
ITER,NTT,3,44,setup_A,0.004146
ITER,NTT,3,45,setup_A,0.004169
ITER,NTT,3,46,setup_A,0.004047
ITER,NTT,3,47,setup_A,0.004153
ITER,NTT,3,48,setup_A,0.004047
ITER,NTT,3,49,setup_A,0.004109
SUMMARY,NTT,3,,setup_A_avg,0.004106
ITER,NTT,4,0,setup_A,0.007530
ITER,NTT,4,1,setup_A,0.007330
ITER,NTT,4,2,setup_A,0.007319
ITER,NTT,4,3,setup_A,0.007215
ITER,NTT,4,4,setup_A,0.007263
ITER,NTT,4,5,setup_A,0.007244
ITER,NTT,4,6,setup_A,0.007307
ITER,NTT,4,7,setup_A,0.007306
ITER,NTT,4,8,setup_A,0.007568
ITER,NTT,4,9,setup_A,0.007247
ITER,NTT,4,10,setup_A,0.007289
ITER,NTT,4,11,setup_A,0.007294
ITER,NTT,4,12,setup_A,0.007311
ITER,NTT,4,13,setup_A,0.007283
ITER,NTT,4,14,setup_A,0.007271
ITER,NTT,4,15,setup_A,0.007284
ITER,NTT,4,16,setup_A,0.007322
ITER,NTT,4,17,setup_A,0.007344
ITER,NTT,4,18,setup_A,0.007236
ITER,NTT,4,19,setup_A,0.007245
ITER,NTT,4,20,setup_A,0.007288
ITER,NTT,4,21,setup_A,0.007269
ITER,NTT,4,22,setup_A,0.007311
ITER,NTT,4,23,setup_A,0.007238
ITER,NTT,4,24,setup_A,0.007247
ITER,NTT,4,25,setup_A,0.007949
ITER,NTT,4,26,setup_A,0.007650
ITER,NTT,4,27,setup_A,0.007666
ITER,NTT,4,28,setup_A,0.007646
ITER,NTT,4,29,setup_A,0.007465
ITER,NTT,4,30,setup_A,0.007459
ITER,NTT,4,31,setup_A,0.007385
ITER,NTT,4,32,setup_A,0.007374
ITER,NTT,4,33,setup_A,0.007287
ITER,NTT,4,34,setup_A,0.007263
ITER,NTT,4,35,setup_A,0.007267
ITER,NTT,4,36,setup_A,0.007299
ITER,NTT,4,37,setup_A,0.007323
ITER,NTT,4,38,setup_A,0.007206
ITER,NTT,4,39,setup_A,0.007199
ITER,NTT,4,40,setup_A,0.007330
ITER,NTT,4,41,setup_A,0.007287
ITER,NTT,4,42,setup_A,0.007318
ITER,NTT,4,43,setup_A,0.007248
ITER,NTT,4,44,setup_A,0.007272
ITER,NTT,4,45,setup_A,0.007297
ITER,NTT,4,46,setup_A,0.007276
ITER,NTT,4,47,setup_A,0.007316
ITER,NTT,4,48,setup_A,0.007297
ITER,NTT,4,49,setup_A,0.007229
SUMMARY,NTT,4,,setup_A_avg,0.007337
ITER,NTT,5,0,setup_A,0.011501
ITER,NTT,5,1,setup_A,0.011403
ITER,NTT,5,2,setup_A,0.011252
ITER,NTT,5,3,setup_A,0.011338
ITER,NTT,5,4,setup_A,0.011414
ITER,NTT,5,5,setup_A,0.011398
