row_type,backend,N,iteration,measure,seconds
ITER,FLINT,1,0,setup_A,0.000609
ITER,FLINT,1,1,setup_A,0.000615
ITER,FLINT,1,2,setup_A,0.000539
ITER,FLINT,1,3,setup_A,0.000566
ITER,FLINT,1,4,setup_A,0.000540
ITER,FLINT,1,5,setup_A,0.000538
ITER,FLINT,1,6,setup_A,0.000538
ITER,FLINT,1,7,setup_A,0.000548
ITER,FLINT,1,8,setup_A,0.000561
ITER,FLINT,1,9,setup_A,0.000572
ITER,FLINT,1,10,setup_A,0.000563
ITER,FLINT,1,11,setup_A,0.000533
ITER,FLINT,1,12,setup_A,0.000538
ITER,FLINT,1,13,setup_A,0.000532
ITER,FLINT,1,14,setup_A,0.000575
ITER,FLINT,1,15,setup_A,0.000541
ITER,FLINT,1,16,setup_A,0.000590
ITER,FLINT,1,17,setup_A,0.000538
ITER,FLINT,1,18,setup_A,0.000530
ITER,FLINT,1,19,setup_A,0.000538
ITER,FLINT,1,20,setup_A,0.000535
ITER,FLINT,1,21,setup_A,0.000554
ITER,FLINT,1,22,setup_A,0.000564
ITER,FLINT,1,23,setup_A,0.000578
ITER,FLINT,1,24,setup_A,0.000544
ITER,FLINT,1,25,setup_A,0.000589
ITER,FLINT,1,26,setup_A,0.000561
ITER,FLINT,1,27,setup_A,0.000595
ITER,FLINT,1,28,setup_A,0.000540
ITER,FLINT,1,29,setup_A,0.000563
ITER,FLINT,1,30,setup_A,0.000539
ITER,FLINT,1,31,setup_A,0.000540
ITER,FLINT,1,32,setup_A,0.000535
ITER,FLINT,1,33,setup_A,0.000638
ITER,FLINT,1,34,setup_A,0.000530
ITER,FLINT,1,35,setup_A,0.000561
ITER,FLINT,1,36,setup_A,0.000560
ITER,FLINT,1,37,setup_A,0.000573
ITER,FLINT,1,38,setup_A,0.000596
ITER,FLINT,1,39,setup_A,0.000566
ITER,FLINT,1,40,setup_A,0.000541
ITER,FLINT,1,41,setup_A,0.000547
ITER,FLINT,1,42,setup_A,0.000558
ITER,FLINT,1,43,setup_A,0.000531
ITER,FLINT,1,44,setup_A,0.000538
ITER,FLINT,1,45,setup_A,0.000730
ITER,FLINT,1,46,setup_A,0.000560
ITER,FLINT,1,47,setup_A,0.000540
ITER,FLINT,1,48,setup_A,0.000588
ITER,FLINT,1,49,setup_A,0.000538
SUMMARY,FLINT,1,,setup_A_avg,0.000561
ITER,FLINT,2,0,setup_A,0.003042
ITER,FLINT,2,1,setup_A,0.003032
ITER,FLINT,2,2,setup_A,0.002650
ITER,FLINT,2,3,setup_A,0.002698
ITER,FLINT,2,4,setup_A,0.002844
ITER,FLINT,2,5,setup_A,0.002663
ITER,FLINT,2,6,setup_A,0.002625
ITER,FLINT,2,7,setup_A,0.002439
ITER,FLINT,2,8,setup_A,0.002497
ITER,FLINT,2,9,setup_A,0.002500
ITER,FLINT,2,10,setup_A,0.002592
ITER,FLINT,2,11,setup_A,0.002539
ITER,FLINT,2,12,setup_A,0.002474
ITER,FLINT,2,13,setup_A,0.002353
ITER,FLINT,2,14,setup_A,0.002391
ITER,FLINT,2,15,setup_A,0.002379
ITER,FLINT,2,16,setup_A,0.002383
ITER,FLINT,2,17,setup_A,0.002368
ITER,FLINT,2,18,setup_A,0.002381
ITER,FLINT,2,19,setup_A,0.002642
ITER,FLINT,2,20,setup_A,0.002385
ITER,FLINT,2,21,setup_A,0.002361
ITER,FLINT,2,22,setup_A,0.002385
ITER,FLINT,2,23,setup_A,0.002389
ITER,FLINT,2,24,setup_A,0.002333
ITER,FLINT,2,25,setup_A,0.002383
ITER,FLINT,2,26,setup_A,0.002482
ITER,FLINT,2,27,setup_A,0.002365
ITER,FLINT,2,28,setup_A,0.002440
ITER,FLINT,2,29,setup_A,0.002349
ITER,FLINT,2,30,setup_A,0.002378
ITER,FLINT,2,31,setup_A,0.002363
ITER,FLINT,2,32,setup_A,0.002380
ITER,FLINT,2,33,setup_A,0.002387
ITER,FLINT,2,34,setup_A,0.002379
ITER,FLINT,2,35,setup_A,0.002413
ITER,FLINT,2,36,setup_A,0.002377
ITER,FLINT,2,37,setup_A,0.002959
ITER,FLINT,2,38,setup_A,0.002625
ITER,FLINT,2,39,setup_A,0.002414
ITER,FLINT,2,40,setup_A,0.002357
ITER,FLINT,2,41,setup_A,0.002362
ITER,FLINT,2,42,setup_A,0.002467
ITER,FLINT,2,43,setup_A,0.002349
ITER,FLINT,2,44,setup_A,0.002386
ITER,FLINT,2,45,setup_A,0.002353
ITER,FLINT,2,46,setup_A,0.002371
ITER,FLINT,2,47,setup_A,0.002365
ITER,FLINT,2,48,setup_A,0.002322
ITER,FLINT,2,49,setup_A,0.002377
SUMMARY,FLINT,2,,setup_A_avg,0.002475
ITER,FLINT,3,0,setup_A,0.005479
ITER,FLINT,3,1,setup_A,0.005415
ITER,FLINT,3,2,setup_A,0.005385
ITER,FLINT,3,3,setup_A,0.005274
ITER,FLINT,3,4,setup_A,0.005449
ITER,FLINT,3,5,setup_A,0.005284
ITER,FLINT,3,6,setup_A,0.005366
ITER,FLINT,3,7,setup_A,0.005504
ITER,FLINT,3,8,setup_A,0.005453
ITER,FLINT,3,9,setup_A,0.005506
ITER,FLINT,3,10,setup_A,0.005306
ITER,FLINT,3,11,setup_A,0.005375
ITER,FLINT,3,12,setup_A,0.005362
ITER,FLINT,3,13,setup_A,0.005342
ITER,FLINT,3,14,setup_A,0.005342
ITER,FLINT,3,15,setup_A,0.005294
ITER,FLINT,3,16,setup_A,0.005318
ITER,FLINT,3,17,setup_A,0.005338
ITER,FLINT,3,18,setup_A,0.005388
ITER,FLINT,3,19,setup_A,0.005280
ITER,FLINT,3,20,setup_A,0.005340
