row_type,backend,N,iteration,measure,seconds
ITER,RUST,1,0,setup_A,0.102576
ITER,RUST,1,1,setup_A,0.097221
ITER,RUST,1,2,setup_A,0.092296
ITER,RUST,1,3,setup_A,0.094922
ITER,RUST,1,4,setup_A,0.091377
ITER,RUST,1,5,setup_A,0.093381
ITER,RUST,1,6,setup_A,0.094302
ITER,RUST,1,7,setup_A,0.091625
ITER,RUST,1,8,setup_A,0.092928
ITER,RUST,1,9,setup_A,0.093549
ITER,RUST,1,10,setup_A,0.094120
ITER,RUST,1,11,setup_A,0.092692
ITER,RUST,1,12,setup_A,0.091952
ITER,RUST,1,13,setup_A,0.092305
ITER,RUST,1,14,setup_A,0.093838
ITER,RUST,1,15,setup_A,0.092289
ITER,RUST,1,16,setup_A,0.091444
ITER,RUST,1,17,setup_A,0.093051
ITER,RUST,1,18,setup_A,0.111678
ITER,RUST,1,19,setup_A,0.093103
ITER,RUST,1,20,setup_A,0.096380
ITER,RUST,1,21,setup_A,0.095908
ITER,RUST,1,22,setup_A,0.095307
ITER,RUST,1,23,setup_A,0.094746
ITER,RUST,1,24,setup_A,0.096019
SUMMARY,RUST,1,,setup_A_avg,0.094760
ITER,RUST,2,0,setup_A,0.094940
ITER,RUST,2,1,setup_A,0.098015
ITER,RUST,2,2,setup_A,0.091753
ITER,RUST,2,3,setup_A,0.092612
ITER,RUST,2,4,setup_A,0.092412
ITER,RUST,2,5,setup_A,0.091641
ITER,RUST,2,6,setup_A,0.092775
ITER,RUST,2,7,setup_A,0.090726
ITER,RUST,2,8,setup_A,0.093580
ITER,RUST,2,9,setup_A,0.092127
ITER,RUST,2,10,setup_A,0.093962
ITER,RUST,2,11,setup_A,0.091409
ITER,RUST,2,12,setup_A,0.094526
ITER,RUST,2,13,setup_A,0.092212
ITER,RUST,2,14,setup_A,0.090749
ITER,RUST,2,15,setup_A,0.091871
ITER,RUST,2,16,setup_A,0.091395
ITER,RUST,2,17,setup_A,0.092169
ITER,RUST,2,18,setup_A,0.091996
ITER,RUST,2,19,setup_A,0.091131
ITER,RUST,2,20,setup_A,0.091557
ITER,RUST,2,21,setup_A,0.093996
ITER,RUST,2,22,setup_A,0.091779
ITER,RUST,2,23,setup_A,0.091130
ITER,RUST,2,24,setup_A,0.092364
SUMMARY,RUST,2,,setup_A_avg,0.092513
ITER,RUST,3,0,setup_A,0.090957
ITER,RUST,3,1,setup_A,0.091898
ITER,RUST,3,2,setup_A,0.091814
ITER,RUST,3,3,setup_A,0.092416
ITER,RUST,3,4,setup_A,0.092581
ITER,RUST,3,5,setup_A,0.091125
ITER,RUST,3,6,setup_A,0.091992
ITER,RUST,3,7,setup_A,0.094918
ITER,RUST,3,8,setup_A,0.091756
ITER,RUST,3,9,setup_A,0.091954
ITER,RUST,3,10,setup_A,0.092497
ITER,RUST,3,11,setup_A,0.091902
ITER,RUST,3,12,setup_A,0.091918
ITER,RUST,3,13,setup_A,0.092209
ITER,RUST,3,14,setup_A,0.092019
ITER,RUST,3,15,setup_A,0.091868
ITER,RUST,3,16,setup_A,0.092686
ITER,RUST,3,17,setup_A,0.092207
ITER,RUST,3,18,setup_A,0.094271
ITER,RUST,3,19,setup_A,0.093481
ITER,RUST,3,20,setup_A,0.092041
ITER,RUST,3,21,setup_A,0.092396
ITER,RUST,3,22,setup_A,0.093511
ITER,RUST,3,23,setup_A,0.092165
ITER,RUST,3,24,setup_A,0.093091
SUMMARY,RUST,3,,setup_A_avg,0.092387
ITER,RUST,4,0,setup_A,0.093965
ITER,RUST,4,1,setup_A,0.092272
ITER,RUST,4,2,setup_A,0.092536
ITER,RUST,4,3,setup_A,0.091868
ITER,RUST,4,4,setup_A,0.095376
ITER,RUST,4,5,setup_A,0.091408
ITER,RUST,4,6,setup_A,0.092147
ITER,RUST,4,7,setup_A,0.093300
ITER,RUST,4,8,setup_A,0.091887
ITER,RUST,4,9,setup_A,0.093018
ITER,RUST,4,10,setup_A,0.091984
ITER,RUST,4,11,setup_A,0.093927
ITER,RUST,4,12,setup_A,0.092924
ITER,RUST,4,13,setup_A,0.093513
ITER,RUST,4,14,setup_A,0.094178
ITER,RUST,4,15,setup_A,0.094688
ITER,RUST,4,16,setup_A,0.091340
ITER,RUST,4,17,setup_A,0.092562
ITER,RUST,4,18,setup_A,0.092456
ITER,RUST,4,19,setup_A,0.092156
ITER,RUST,4,20,setup_A,0.091748
ITER,RUST,4,21,setup_A,0.092963
ITER,RUST,4,22,setup_A,0.091668
ITER,RUST,4,23,setup_A,0.092861
ITER,RUST,4,24,setup_A,0.091228
SUMMARY,RUST,4,,setup_A_avg,0.092719
ITER,RUST,5,0,setup_A,0.093867
ITER,RUST,5,1,setup_A,0.091892
ITER,RUST,5,2,setup_A,0.091836
ITER,RUST,5,3,setup_A,0.093263
ITER,RUST,5,4,setup_A,0.091737
ITER,RUST,5,5,setup_A,0.092406
ITER,RUST,5,6,setup_A,0.091650
ITER,RUST,5,7,setup_A,0.092310
ITER,RUST,5,8,setup_A,0.091997
ITER,RUST,5,9,setup_A,0.092768
ITER,RUST,5,10,setup_A,0.091511
ITER,RUST,5,11,setup_A,0.095316
ITER,RUST,5,12,setup_A,0.091760
ITER,RUST,5,13,setup_A,0.095252
ITER,RUST,5,14,setup_A,0.093364
ITER,RUST,5,15,setup_A,0.096249
ITER,RUST,5,16,setup_A,0.092912
ITER,RUST,5,17,setup_A,0.095890
ITER,RUST,5,18,setup_A,0.092805
ITER,RUST,5,19,setup_A,0.096721
ITER,RUST,5,20,setup_A,0.097371
ITER,RUST,5,21,setup_A,0.092732
ITER,RUST,5,22,setup_A,0.097463
ITER,RUST,5,23,setup_A,0.091742
ITER,RUST,5,24,setup_A,0.096320
SUMMARY,RUST,5,,setup_A_avg,0.093645
ITER,RUST,6,0,setup_A,0.093034
ITER,RUST,6,1,setup_A,0.097226
ITER,RUST,6,2,setup_A,0.093346
ITER,RUST,6,3,setup_A,0.094210
ITER,RUST,6,4,setup_A,0.097147
ITER,RUST,6,5,setup_A,0.093317
ITER,RUST,6,6,setup_A,0.097559
ITER,RUST,6,7,setup_A,0.095269
ITER,RUST,6,8,setup_A,0.093222
ITER,RUST,6,9,setup_A,0.093282
ITER,RUST,6,10,setup_A,0.093208
ITER,RUST,6,11,setup_A,0.093613
ITER,RUST,6,12,setup_A,0.092817
ITER,RUST,6,13,setup_A,0.093357
ITER,RUST,6,14,setup_A,0.093663
ITER,RUST,6,15,setup_A,0.093394
ITER,RUST,6,16,setup_A,0.095119
ITER,RUST,6,17,setup_A,0.092807
ITER,RUST,6,18,setup_A,0.095623
ITER,RUST,6,19,setup_A,0.098737
ITER,RUST,6,20,setup_A,0.094267
ITER,RUST,6,21,setup_A,0.098987
ITER,RUST,6,22,setup_A,0.100536
ITER,RUST,6,23,setup_A,0.094115
ITER,RUST,6,24,setup_A,0.099299
SUMMARY,RUST,6,,setup_A_avg,0.095086
ITER,RUST,7,0,setup_A,0.094536
ITER,RUST,7,1,setup_A,0.099989
ITER,RUST,7,2,setup_A,0.094688
ITER,RUST,7,3,setup_A,0.100731
ITER,RUST,7,4,setup_A,0.095001
ITER,RUST,7,5,setup_A,0.100330
ITER,RUST,7,6,setup_A,0.094894
ITER,RUST,7,7,setup_A,0.100629
ITER,RUST,7,8,setup_A,0.095548
ITER,RUST,7,9,setup_A,0.095967
ITER,RUST,7,10,setup_A,0.100485
ITER,RUST,7,11,setup_A,0.095652
ITER,RUST,7,12,setup_A,0.101073
ITER,RUST,7,13,setup_A,0.095088
ITER,RUST,7,14,setup_A,0.101924
ITER,RUST,7,15,setup_A,0.092898
ITER,RUST,7,16,setup_A,0.100830
ITER,RUST,7,17,setup_A,0.093410
ITER,RUST,7,18,setup_A,0.100676
ITER,RUST,7,19,setup_A,0.093733
ITER,RUST,7,20,setup_A,0.100891
ITER,RUST,7,21,setup_A,0.093890
ITER,RUST,7,22,setup_A,0.101427
ITER,RUST,7,23,setup_A,0.095901
ITER,RUST,7,24,setup_A,0.102555
SUMMARY,RUST,7,,setup_A_avg,0.097710
ITER,RUST,8,0,setup_A,0.094122
ITER,RUST,8,1,setup_A,0.102203
ITER,RUST,8,2,setup_A,0.095703
ITER,RUST,8,3,setup_A,0.094260
ITER,RUST,8,4,setup_A,0.096834
ITER,RUST,8,5,setup_A,0.102679
ITER,RUST,8,6,setup_A,0.097402
ITER,RUST,8,7,setup_A,0.102973
ITER,RUST,8,8,setup_A,0.096892
ITER,RUST,8,9,setup_A,0.104079
ITER,RUST,8,10,setup_A,0.093814
ITER,RUST,8,11,setup_A,0.103127
ITER,RUST,8,12,setup_A,0.096927
ITER,RUST,8,13,setup_A,0.104072
ITER,RUST,8,14,setup_A,0.097650
ITER,RUST,8,15,setup_A,0.103963
ITER,RUST,8,16,setup_A,0.097397
ITER,RUST,8,17,setup_A,0.105262
ITER,RUST,8,18,setup_A,0.097713
ITER,RUST,8,19,setup_A,0.104907
ITER,RUST,8,20,setup_A,0.093638
ITER,RUST,8,21,setup_A,0.096087
ITER,RUST,8,22,setup_A,0.104266
ITER,RUST,8,23,setup_A,0.098323
ITER,RUST,8,24,setup_A,0.094774
SUMMARY,RUST,8,,setup_A_avg,0.099163
ITER,RUST,9,0,setup_A,0.098113
ITER,RUST,9,1,setup_A,0.105265
ITER,RUST,9,2,setup_A,0.098189
ITER,RUST,9,3,setup_A,0.105375
ITER,RUST,9,4,setup_A,0.107405
ITER,RUST,9,5,setup_A,0.098446
ITER,RUST,9,6,setup_A,0.106461
ITER,RUST,9,7,setup_A,0.098710
ITER,RUST,9,8,setup_A,0.106192
ITER,RUST,9,9,setup_A,0.099027
ITER,RUST,9,10,setup_A,0.106572
ITER,RUST,9,11,setup_A,0.099190
ITER,RUST,9,12,setup_A,0.106900
ITER,RUST,9,13,setup_A,0.098923
ITER,RUST,9,14,setup_A,0.107609
ITER,RUST,9,15,setup_A,0.099385
ITER,RUST,9,16,setup_A,0.107427
ITER,RUST,9,17,setup_A,0.099903
ITER,RUST,9,18,setup_A,0.107716
ITER,RUST,9,19,setup_A,0.100262
ITER,RUST,9,20,setup_A,0.108026
ITER,RUST,9,21,setup_A,0.100008
ITER,RUST,9,22,setup_A,0.107994
ITER,RUST,9,23,setup_A,0.100014
ITER,RUST,9,24,setup_A,0.108098
SUMMARY,RUST,9,,setup_A_avg,0.103248
ITER,RUST,10,0,setup_A,0.100568
ITER,RUST,10,1,setup_A,0.108270
ITER,RUST,10,2,setup_A,0.100469
ITER,RUST,10,3,setup_A,0.109022
ITER,RUST,10,4,setup_A,0.100323
ITER,RUST,10,5,setup_A,0.095734
ITER,RUST,10,6,setup_A,0.100102
ITER,RUST,10,7,setup_A,0.096418
ITER,RUST,10,8,setup_A,0.100371
ITER,RUST,10,9,setup_A,0.098969
ITER,RUST,10,10,setup_A,0.109141
ITER,RUST,10,11,setup_A,0.100964
ITER,RUST,10,12,setup_A,0.109772
ITER,RUST,10,13,setup_A,0.096686
ITER,RUST,10,14,setup_A,0.109617
ITER,RUST,10,15,setup_A,0.111922
ITER,RUST,10,16,setup_A,0.101503
ITER,RUST,10,17,setup_A,0.102484
ITER,RUST,10,18,setup_A,0.110628
ITER,RUST,10,19,setup_A,0.097237
ITER,RUST,10,20,setup_A,0.101099
ITER,RUST,10,21,setup_A,0.110917
ITER,RUST,10,22,setup_A,0.102589
ITER,RUST,10,23,setup_A,0.111347
ITER,RUST,10,24,setup_A,0.102509
SUMMARY,RUST,10,,setup_A_avg,0.103547
ITER,RUST,11,0,setup_A,0.111049
ITER,RUST,11,1,setup_A,0.099860
ITER,RUST,11,2,setup_A,0.113138
ITER,RUST,11,3,setup_A,0.101487
ITER,RUST,11,4,setup_A,0.114531
ITER,RUST,11,5,setup_A,0.102517
ITER,RUST,11,6,setup_A,0.114791
ITER,RUST,11,7,setup_A,0.102553
ITER,RUST,11,8,setup_A,0.100655
ITER,RUST,11,9,setup_A,0.103872
ITER,RUST,11,10,setup_A,0.099468
ITER,RUST,11,11,setup_A,0.103909
ITER,RUST,11,12,setup_A,0.099042
ITER,RUST,11,13,setup_A,0.104133
ITER,RUST,11,14,setup_A,0.099297
ITER,RUST,11,15,setup_A,0.103578
ITER,RUST,11,16,setup_A,0.099077
ITER,RUST,11,17,setup_A,0.104039
ITER,RUST,11,18,setup_A,0.099531
ITER,RUST,11,19,setup_A,0.104248
ITER,RUST,11,20,setup_A,0.099662
ITER,RUST,11,21,setup_A,0.104551
ITER,RUST,11,22,setup_A,0.100392
ITER,RUST,11,23,setup_A,0.114742
ITER,RUST,11,24,setup_A,0.106544
SUMMARY,RUST,11,,setup_A_avg,0.104267
ITER,RUST,12,0,setup_A,0.115918
ITER,RUST,12,1,setup_A,0.107141
ITER,RUST,12,2,setup_A,0.115281
ITER,RUST,12,3,setup_A,0.107058
ITER,RUST,12,4,setup_A,0.116203
ITER,RUST,12,5,setup_A,0.118197
ITER,RUST,12,6,setup_A,0.102453
ITER,RUST,12,7,setup_A,0.104612
ITER,RUST,12,8,setup_A,0.100380
ITER,RUST,12,9,setup_A,0.105218
ITER,RUST,12,10,setup_A,0.100573
ITER,RUST,12,11,setup_A,0.105225
ITER,RUST,12,12,setup_A,0.100318
ITER,RUST,12,13,setup_A,0.105452
ITER,RUST,12,14,setup_A,0.101328
ITER,RUST,12,15,setup_A,0.105592
ITER,RUST,12,16,setup_A,0.101704
ITER,RUST,12,17,setup_A,0.116616
ITER,RUST,12,18,setup_A,0.106490
ITER,RUST,12,19,setup_A,0.116454
ITER,RUST,12,20,setup_A,0.109356
ITER,RUST,12,21,setup_A,0.118345
ITER,RUST,12,22,setup_A,0.109310
ITER,RUST,12,23,setup_A,0.108032
ITER,RUST,12,24,setup_A,0.118907
SUMMARY,RUST,12,,setup_A_avg,0.108646
ITER,RUST,13,0,setup_A,0.111250
ITER,RUST,13,1,setup_A,0.118250
ITER,RUST,13,2,setup_A,0.110351
ITER,RUST,13,3,setup_A,0.119127
ITER,RUST,13,4,setup_A,0.126257
ITER,RUST,13,5,setup_A,0.127433
ITER,RUST,13,6,setup_A,0.126368
ITER,RUST,13,7,setup_A,0.127831
ITER,RUST,13,8,setup_A,0.126627
ITER,RUST,13,9,setup_A,0.126975
ITER,RUST,13,10,setup_A,0.126339
ITER,RUST,13,11,setup_A,0.127665
ITER,RUST,13,12,setup_A,0.126407
ITER,RUST,13,13,setup_A,0.127276
ITER,RUST,13,14,setup_A,0.126928
ITER,RUST,13,15,setup_A,0.126537
ITER,RUST,13,16,setup_A,0.126633
ITER,RUST,13,17,setup_A,0.127705
